exporter,product,periodX,periodY,intercept,intercept_p_value,beta,beta_p_value,gamma,r_squared
EE,2,200801,200802,-0.007175963,0.591088315,1.083161775,1.46031E-06,0.083161775,0.887967679
EE,2,200802,200803,0.006200011,0.695159611,0.901563834,1.98443E-05,-0.098436166,0.82101685
EE,2,200803,200804,0.01192061,0.115655697,0.853051213,1.35907E-08,-0.146948787,0.951879363
EE,2,200804,200805,0.000988769,0.873547024,0.972891799,7.88461E-10,-0.027108201,0.961153513
EE,2,200805,200806,-0.010790199,0.082986474,1.141977094,1.62095E-10,0.141977094,0.97844617
EE,2,200806,200807,-0.002935211,0.551545855,1.070993819,2.14063E-12,0.070993819,0.97976212
EE,2,200807,200808,0.002882544,0.72947775,0.93838168,3.86465E-09,-0.06161832,0.936047056
EE,2,200808,200809,0.002705594,0.812209222,0.91989901,3.61221E-07,-0.08010099,0.89270496
EE,2,200809,200810,0.005294472,0.585434725,0.913684617,6.08553E-08,-0.086315383,0.902501791
EE,2,200810,200811,0.010062647,0.374069175,0.889420642,7.50548E-07,-0.110579358,0.878929477
EE,2,200811,200812,-0.01708156,0.44782939,1.195624518,4.89745E-05,0.195624518,0.759534515
EE,2,200812,200901,0.011261793,0.142727812,0.851980998,5.65003E-09,-0.148019002,0.970412711
EE,2,200901,200902,0.013583187,0.185307239,0.783783244,4.07968E-07,-0.216216756,0.910979021
EE,2,200902,200903,-0.005762702,0.362058329,1.039120769,7.1241E-10,0.039120769,0.971803222
EE,2,200903,200904,-0.010174745,0.503221524,1.172494465,1.63564E-06,0.172494465,0.885656618
EE,2,200904,200905,-0.003059379,0.820984236,1.043598376,5.42949E-07,0.043598376,0.926551191
EE,2,200905,200906,0.02758409,0.101436021,0.599628776,0.000148157,-0.400371224,0.777679552
EE,2,200906,200907,0.001298682,0.937262018,0.988154403,2.94193E-05,-0.011845597,0.778735025
EE,2,200907,200908,-0.000878006,0.931823156,1.014981545,1.09484E-07,0.014981545,0.929805994
EE,2,200908,200909,0.008410015,0.196223799,0.819235444,1.9884E-09,-0.180764556,0.954700053
EE,2,200909,200910,-0.001985383,0.877226563,1.04065328,1.9314E-06,0.04065328,0.882183457
EE,2,200910,200911,0.007074461,0.492099952,0.897413047,4.21824E-07,-0.102586953,0.91044082
EE,2,200911,200912,-0.003716123,0.720925507,1.050307613,1.52919E-07,0.050307613,0.925436137
EE,2,200912,201001,-0.003055437,0.754791025,1.01698978,6.44879E-08,0.01698978,0.936212913
EE,2,201001,201002,0.004759588,0.589125666,0.937668171,3.72055E-08,-0.062331829,0.942254927
EE,2,201002,201003,0.009502976,0.297594745,0.888637687,9.52009E-08,-0.111362313,0.931557704
EE,2,201003,201004,-0.001730589,0.871541414,1.003540972,2.85828E-07,0.003540972,0.916517087
EE,2,201004,201005,0.004362333,0.565744737,0.955277861,9.99825E-09,-0.044722139,0.954482106
EE,2,201005,201006,-0.003835005,0.7749834,1.03023054,1.79068E-06,0.03023054,0.883777069
EE,2,201006,201007,-0.006217686,0.356251836,1.082021574,4.04044E-10,0.082021574,0.974560313
EE,2,201007,201008,0.01013828,0.205855258,0.867552319,1.13475E-08,-0.132447681,0.95342623
EE,2,201008,201009,0.006584091,0.333466749,0.90955494,1.62839E-09,-0.09044506,0.956178421
EE,2,201009,201010,-0.000362882,0.937371641,0.837528412,2.59487E-10,-0.162471588,0.976524609
EE,2,201010,201011,-0.008667664,0.140174372,1.286397565,1.87382E-11,0.286397565,0.971759008
EE,2,201011,201012,-0.005836404,0.619356512,1.0685649,1.37933E-07,0.0685649,0.908497569
EE,2,201012,201101,0.008123854,0.425872114,0.920400876,2.85728E-07,-0.079599124,0.952754941
EE,2,201101,201102,0.017494043,0.248290567,0.81264068,3.13778E-05,-0.18735932,0.897602829
EE,2,201102,201103,0.013008153,0.005091398,0.880381803,5.65263E-10,-0.119618197,0.993261634
EE,2,201103,201104,0.002372292,0.790878387,0.974969767,5.80936E-07,-0.025030233,0.961968926
EE,2,201104,201105,-0.005840688,0.479150797,1.05290546,1.55841E-07,0.05290546,0.972599918
